Вакансия;Ссылка;Компания;Оплата;Описание;Требования
Ведущий Full Stack разработчик / Lead Full Stack Developer;https://omsk.hh.ru/vacancy/31797485?query=django;ООО Open Media;150 000-250 000 руб.;Самостоятельное решение сложных технических задач. Планирование и разработка от бизнес идеи до продакшна. Разработка архитектуры новых и рефакторинг существующих приложений. ;Знание алгоритмов, структур данных, паттернов проектирования, способность писать эффективный код. Знание Python, JavaScript, SQL, REST, HTML5, CSS3. 
DevOps Инженер (Junior);https://omsk.hh.ru/vacancy/31801233?query=django; МФТИ ГУ;80 000-100 000 руб.;автоматизация деплоя компонентов библиотеки с открытым кодом DeepPavlov в инфраструктуре проекта. - администрирование инфраструктуры проекта (Kubernetes, Docker, 2 x NVIDIA DGX). - ;знакомство с любым веб-фреймворком для Python (Flask, Django, …). - опыт работы с системами контроля версий (мы используем git). - 
Fullstack-разработчик (Python + Django);https://omsk.hh.ru/vacancy/31601720?query=django;ООО ЦЦЭТ;60 000-120 000 руб.;Разработка веб-приложений и сайтов различной степени сложности. Разработка веб-сервисов и API. Проектирование структур баз данных. Разработка функционала фронтенда...;Опыт разработки на Python + Django. Опыт работы с PostgreSQL, умение строить сложные SQL-запросы c оптимизацией производительности. 
Web developer (Python);https://omsk.hh.ru/vacancy/31934263?query=django;ООО Вайт Код;от 200 000 руб.;Разрабатывать новые фичи и улучшать имеющиеся, заниматься расширением функциональности высоконагруженных систем. Проектирование архитектуры, разработка и развитие веб-проектов. ;Хорошие знания Python (Django). Опыт разработки высоконагруженных систем. Большой опыт работы с базами данных и NoSQL (postgresql, redis). 
Начинающий фулл-стек разработчик;https://omsk.hh.ru/vacancy/31708030?query=django;ООО ВЕБИМ.РУ;30 000-100 000 руб.;Дорабатывать и сопровождать сервис чата. Работать в команде над интересным проектом. Использовать git, jira, pycharm, phpstorm и другие инструменты.;Python Django. JavaScript Angular. Знание алгоритмов и структур данных. Приветствуется участие в олимпиадах по программированию.
Backend Python Developer;https://omsk.hh.ru/vacancy/29523720?query=django;ООО Авгуро Технолоджис;30 000-150 000 руб.;Backend разработчику предстоит реализовывать и развивать серверную часть веб-сервисов, принимая аналитические архитектурные решения, а также дорабатывать имеющуюся инфраструктуру.;От 1 года коммерческого опыта в Python, Django, SQL (опыт во freelance не учитывается). Владение Linux. Знание SQL и реляционных...
Python-разработчик;https://omsk.hh.ru/vacancy/31965654?query=django; ANVIO;до 130 000 руб.;Разработка новых фич и доработка текущего функционала сайта компании. Интеграция с внешними и внутренними сервисами. Маркетинговая аналитика. Личные кабинеты.;Иметь опыт работы с Django, знать основные особенности и функционал фреймворка. Быть знакомым с PostgreSQL и командной строкой Linux. 
React (Native) developer;https://omsk.hh.ru/vacancy/31537035?query=django; Студия Павла Яковлева;от 30 000 руб.;Работа над конкретными проектами.;+ Опыт в backend-технологиях и фреймворках (Node.js, Java/Spring MVC, RoR, Django и т.д.). + Опыт нативной разработки...
Преподаватель компьютерных/IT курсов, программирования, информатики, робототехники;https://omsk.hh.ru/vacancy/30137791?query=django; ЧУ ДО Школа программистов;до 100 000 руб.;Web-дизайн, CMS, PHP, JavaScript. Компьютерное железо. Робототехника и микроконтроллеры. Системное администрирование. Компьютерные сети. Подготовка к ЕГЭ/ОГЭ.;Вы обладаете опытом публичных выступлений. Получили или скоро получите техническое или педагогическое высшее образование. Вы хотите работать в области преподавания. 
Старший Full Stack разработчик;https://omsk.hh.ru/vacancy/31937652?query=django;ООО Open Media;120 000-200 000 руб.;Самостоятельное решение сложных технических задач. Планирование и разработка от бизнес идеи до продакшна. Разработка архитектуры новых и рефакторинг существующих приложений. ;Знание алгоритмов, структур данных, паттернов проектирования, способность писать эффективный код. Знание Python, JavaScript, SQL, REST, HTML5, CSS3. 
Frontend developer;https://omsk.hh.ru/vacancy/29671454?query=django;ООО Авгуро Технолоджис;30 000-90 000 руб.;Деятельное и ответственное участие в командной работе по развитию уникальной контрольной панели хостинга и иных проектов. В связи с интенсивным...;Базовые знания SQL, Python, Django. Понимание принципов работы HTTP и смежных технологий. Стремиться писать чистый, аккуратный и осмысленный код. 
Middle Fullstack Веб Разработчик;https://omsk.hh.ru/vacancy/31842145?query=django; Carbon Soft;80 000-120 000 руб.;Backend разработка веб-служб на Python. Frontend разработка веб-интерфейсов.;Опыт работы с HTML, CSS, Vanilla JS, Bootstrap и jQuery. Опыт работы с Framework Django, Flask или подобными. 
Python разработчик ‍‍;https://omsk.hh.ru/vacancy/30934505?query=django;ООО АппФоллоу;70 000-140 000 руб.;Парсинг и хранение данных: (ключевые слова, позиции приложений в Top чартах, фичеринг) в App Store и Google Play, Mac Store...;Python-разработчик, найдись! Уверенное владение Python, MySQL, MongoDB, Redis. Владение WSGI frameworks, Aiohttp или Asyncio производных. Понимание распределенных/параллельных вычислений. 
Frontend-разработчик;https://omsk.hh.ru/vacancy/31568237?query=django;ООО Эктострой;от 55 000 руб.;Front-end – разработка сайтов. Верстка интерфейсов пользователя с поддержкой мобильных и десктопных браузеров. Разработка, отладка и тестирование мобильных приложений для...;Знание систем разработки приложений и особенности архитектур современных мобильных ОС. Знания C++ и Java. Непрерывное развитие и совершенствование своей деятельности...
Программист Python;https://omsk.hh.ru/vacancy/31967594?query=django;ООО Ронда Лимитед;45 000-120 000 руб.;Разработка программного и аппаратного обеспечения для устройств обработки изображения, таких как экшн-камеры, видеорегистраторы, камеры виртуальной реальности, дроны, квадрокоптеры и...;Уверенное владение Python 3+, опыт с Django и venv будет плюсом. Опыт разработки и поддержки сетевых и web-сервисов...
Frontend-разработчик (Junior);https://omsk.hh.ru/vacancy/31525199?query=django;ООО Контент лайн;70 000-100 000 руб.;Разработка клиентской части web-проектов (верстка в приоритете). Сопровождение и документирование проектов.;Опыт клиентской оптимизации веб-страниц. Опыт работы с диаграммами (D3JS/ChartJS/HighchartsJS/Flot или др.). Знание шаблонизатора Django...
Python разработчик ( Backend Software Engineer);https://omsk.hh.ru/vacancy/31671367?query=django;ООО PERX;80 000-120 000 руб.;Разработка новых проектов и поддержка существующих проектов компании: Облачная контентная система – кольцо дилерских сайтов. Платформа для автопроизводителей по учету автомобилей...;Опыт работы с одним из web-фреймворков (Flask, Aiohttp, Django, Pyramid). Опыт работы с ORM: SQLAlchemy, mongoengine или DjangoORM. 
Frontend developer;https://omsk.hh.ru/vacancy/29663805?query=django;ООО Авгуро Технолоджис;до 180 000 руб.;;Приветствуется опыт работы с SASS, jQuery, Vue.js, Node.js, Webpack или готовность изучить их. Базовые знания SQL, Python, Django. 
Python разработчик;https://omsk.hh.ru/vacancy/31830274?query=django;ООО Очень Интересно;70 000-110 000 руб.;Оптимизация и профилирование Python кода. Документацию, которая обновляется (и тех, кто над ней работает). Создание API, Backend для мобильных, веб...;Планируете свое решение, прежде чем написать первую строчку кода. Плюсом будет: Django & Django Rest Framework. Опыт работы с Vue (or...
Middle Python developer;https://omsk.hh.ru/vacancy/30108682?query=django; FinPay;90 000-120 000 руб.;;Продуктивный опыт разработки на Python/Django минимум 1,5 года. Продвинутые знания Postgres. Опыт работы с MongoDB, Redis, Celery. 
Back-end Developer (Python-разработчик);https://omsk.hh.ru/vacancy/31270673?query=django;ООО Raccoon Studio;30 000-60 000 руб.;Проектирование и разработка back-end API для мобильных приложений и веб-сервисов (SPA, PWA). Проектирование архитектуры базы данных. ;Опыт работы с фреймворками для создания RESTful API (Flask, Tornado, Django/Django-REST, Falcon, другие). Знание ООП, владение основными паттернами...
Web-программист;https://omsk.hh.ru/vacancy/31439425?query=django;ООО Мир Калкулэйт;до 80 000 руб.;Разработка высоконагруженных web-проектов. Поддержание работы сайта.;Знания: PHP, Python, Django, HTML, CSS, SQL, JavaScript, jQuery, Ajax, XML, JSON, DHTML. При отсутствии знаний Python обязателен опыт работы...
Python-разработчик;https://omsk.hh.ru/vacancy/31114402?query=django;ООО Shortest Track;70 000-150 000 руб.;Разработка и улучшение функционала платформы: внедрение и работа с платежными системами, мониторинг и выполнение алгоритмов, автоматический деплой моделей, редактирование и...;Django и Flask. PostgreSQL. Умение составлять сложные запросы и оптимизировать нагрузку. Git. Unit-тестами.
Разработчик в сфере Информационной безопасности (Team Lead);https://omsk.hh.ru/vacancy/31689760?query=django; Акрибия;от 140 000 руб.;Ведение проекта. Улучшение текущей функциональности. Разработка новой функциональности. Генерация идей по улучшению проекта. Проектирование архитектуры. Создание новых API модулей.;Опыт разработки на интерпретируемых языках (Python, bash, node.js, PHP, Ruby, etc.). Знание Django Framework. Опыт реализации REST API. 
