Вакансия;Ссылка;Компания;Оплата;Описание;Требования
Автор на бэкенд-факультет в Практикум;https://omsk.hh.ru/vacancy/31959717?query=django; Яндекс;50 000-200 000 руб.;Что делает автор? Автор пишет обучающие курсы: проектирует тему, придумывает примеры и задания, готовит тексты с нашими авторами и редакторами. ;Бэкенд-разработчикам на Python 3 и Django с опытом работы от двух лет. Вы знаете базовые алгоритмы и структуры данных. 
Python разработчик;https://omsk.hh.ru/vacancy/31935749?query=django;ООО Джигсоу;60 000-100 000 руб.;Компания JigSaw в поисках middle python разработчика.;Опыт разработки на python от 2 лет. Общее понимание многопоточной и асинхронной разработки, методов синхронизации. Опыт работы с веб-фреймворками...
DevOps - системный инженер;https://omsk.hh.ru/vacancy/31948676?query=django;ЗАО АКУТА;55 000-100 000 руб.;"Основной стек проектов: VMWare ESXi, Linux, немного Windows; python (django), JavaScript (react.js); PostgreSQL, немного mongodb; gitlab +CI/CD (docker); 2...";Опыт работы с *nix, Windows и какими-либо системами виртуализации. Базовый опыт работы работы с PostgreSQL или SQL, git, web...
Разработчик Python (Middle);https://omsk.hh.ru/vacancy/30613214?query=django; Телепорт - финансовый лидогенератор;100 000-170 000 руб.;Участвовать в разработке сервисов компании с использованием технологий: Django, asyncio, aiohttp. Примеры сервисов: асинхронный rest API, сервис push уведомлений, сервис...;Глубокое знание одного или нескольких фреймворков: Django, Flask, Tornado, aiohttp. Опыт работы с asyncio. Понимать принципы работы и уметь работать...
Python разработчик;https://omsk.hh.ru/vacancy/31923066?query=django;ООО Аксета;50 000-90 000 руб.;;Требуемые навыки: Знание Python. Опыт работы с Django или Flask. Опыт разработки Rest API. Понимание принципов ООП. Знакомство с базовыми...
Программист Python;https://omsk.hh.ru/vacancy/31731442?query=django; Star-staff;150 000-250 000 руб.;Вы будете отвечать за разработку новых функций для платформы бэк-тестирования, которая запускает симуляции для торговых стратегий на разных частотах...;Используемый стек технологий: Python 3, Django, Flask, PostgreSQL, Redis, Clickhouse, MongoDB. Сейчас в команду по развитию торговой платформы открыта вакансия...
Программист Python/PHP;https://omsk.hh.ru/vacancy/31422572?query=django;АО Воентелеком;85 000-104 000 руб.;Разработка и доработка frontend серверной части. Разработка независимых модулей для серверной части системы. Изучение и внедрение новых технологий, разработка архитектурных...;Хорошее знание PHP и Python. Знание Flask (или аналогичного framework, например, Django). Знание AJAX/JavaScript/HTML/CSS. Знание фреймворка Tornado. 
Разработчик Python;https://omsk.hh.ru/vacancy/31194079?query=django;ООО «Баланс-Платформа»;от 140 000 руб.;Реализация банковских продуктов на языке Python (у нас версия 3+). Участие в построении технической архитектуры крупного проекта, выработка решений...;...из нескольких сервисов с коммуникациями между ними: использование очередей rabbitmq/celery/kafka. Знание типовых технологий и фреймворков (Django, Flask, asyncio).
Системный администратор Linux / DevOps;https://omsk.hh.ru/vacancy/31430050?query=django; Snaappy;100 000-150 000 руб.;Поддержание непрерывной работы серверов на базе Linux. Проектирование и развертывание горизонтально масштабируемой инфраструктуры. Релиз-менеджмент, создание и совершенствование инструментов для...;Опыт администрирования реляционных баз данных (PostgreSQL). Знания веб-стека Python (uwsgi, django). Опыт работы с веб-серверами (nginx). 
Специалист 2-й линии службы технической поддержки;https://omsk.hh.ru/vacancy/30067141?query=django; Крона-КС;от 60 000 руб.;Работа на 2-й линии службы технической поддержки. Прием и разрешение инцидентов от 1-й линии техподдержки по работе облачных...;Навыки программирования (минимум на уровне программиста-стажера, стэк - Python/JavaScript). Умение разбираться в программном коде. Ответственность, высокая работоспособность, обучаемость. 
Junior Python разработчик;https://omsk.hh.ru/vacancy/28676233?query=django;ООО МедРейтинг;30 000-35 000 руб.;Для того, чтобы присоединиться к отделу разработки необходимо:;Очень желательно знание Python3. Будет являться существенным преимуществом знание Django. Базовое владение HTML, CSS, JavaScript. В компании есть отдельные...
Django-разработчик;https://omsk.hh.ru/vacancy/31895839?query=django;ИП Султанов Альберт Рифович;20 000-50 000 руб.;Разработка back-end мобильных приложений и web-сервисов. Участие в совместных планированиях, ежедневных стендапах. Ведение статусов своих задач в трекере...;Знание и понимание концепции REST (RESTful API). Опыт работы с Django. Знание ООП, владение основными паттернами проектирования. Linux/git. 
Full-stack разработчик (Python, JavaScript);https://omsk.hh.ru/vacancy/29195763?query=django; LiteBox;100 000-200 000 руб.;Активно участвовать во всех этапах разработки в составе Scrum-команды: от сбора и анализа требований до написания кода и выкатки...;Знание GIT/ GitFlow. Опыт использования СУБД Firebird. Фреймворки CherryPy/Django. Понимание гибких методологий разработки (Scrum). Опыт работы с системами учета...
Full-stack разработчик (Python, JavaScript);https://omsk.hh.ru/vacancy/25586186?query=django; LiteBox;100 000-200 000 руб.;Активно участвовать во всех этапах разработки в составе Scrum-команды: от сбора и анализа требований до написания кода и выкатки...;Знание GIT/ GitFlow. Опыт использования СУБД Firebird. Фреймворки CherryPy/Django. Понимание гибких методологий разработки (Scrum). Опыт работы с системами учета...
Data Analyst (Кипр);https://omsk.hh.ru/vacancy/31938019?query=django; EOtradex;от 2 200 EUR;Построение графических и табличных отчетов.;Необходимый опыт: Python3, pandas, numpy. БД - Postgresql, Mysql. Хорошее знание математики, теории вероятностей и статистики. Преимуществом будет: Google Analytics. 
Data Analyst (Кипр);https://omsk.hh.ru/vacancy/31938020?query=django; EOtradex;от 2 200 EUR;Построение графических и табличных отчетов.;Необходимый опыт: Python3, pandas, numpy. БД - Postgresql, Mysql. Хорошее знание математики, теории вероятностей и статистики. Преимуществом будет: Google Analytics. 
Web-программист;https://omsk.hh.ru/vacancy/31913956?query=django; Mriya Resort & SPA;60 000-115 000 руб.;Оптимизация графических файлов используемых в шаблонах сайта и в его содержании. Оптимизация видео и аудио файлов, встройка текстовой и графической...;Знание HTML/CSS, Adobe Photoshop, знание CMS 1С-Битрикс, django, основ онлайн - маркетинга, SEO – оптимизации. Умение решать не стандартные...
Web-разработчик;https://omsk.hh.ru/vacancy/31638956?query=django;ООО Электроника, ПСЦ;от 40 000 руб.;Качественная разработка программного обеспечения. Разработчик web.;Знание и опыт применения системы контроля версий (git). Приветствуется опыт работы с Django, PostgreSQL, Vue.js, JQuery, EasyUI, Angular, Dojo. 
Data Scientist;https://omsk.hh.ru/vacancy/31868628?query=django; MNFST;до 300 000 руб.;Оценка популярности аккаунта в соцсети и стоимости постинга в аккаунте в рекламном контексте. Антифрод: анализ аномалий в поведении юзера, верификация...;Английский на уровне чтения документации. Опыт построения дашбордов и визуализаций: django, plotly, dash. Диплом ШАД, успехи в kaggle.
Frontend-разработчик;https://omsk.hh.ru/vacancy/30719002?query=django; Галактика;от 120 000 руб.;;Дополнительными плюсами будут: Знания одного из следующих фреймворков .NET Core или Node.js или Django. Typescript. Навыки работы с DevExtreme.
Инженер-программист (Middle Software Engineer);https://omsk.hh.ru/vacancy/31194172?query=django; Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации;100 000-140 000 руб.;Разработка web-ориентированных программных сервисов по обработке и графическому представлению больших объёмов гетерогенных данных в социально-экономической сфере. ;Релевантный опыт программирования на любом высокоуровневом языке программирования (Python/ Java / Scala и др.) от 3-х лет. Опыт веб-ориентированной...
Ведущий разработчик облачных решений;https://omsk.hh.ru/vacancy/31900451?query=django; Специальные системы и технологии;от 160 000 руб.;Разработка облачного решения (IoT) по управлению и сборe статистики контрольно-измерительной аппаратуры: регуляторы, датчики, системы контроля протечки воды и прочая...;Английский - технический. ​MQTT (Mosquitto), Django, Elastik, Logstash, Kibana, Ruby/Python, C++, Git, Redis, Postgres SQL​.
Ведущий разработчик облачных решений;https://omsk.hh.ru/vacancy/31900452?query=django; Специальные системы и технологии;от 160 000 руб.;Разработка облачного решения (IoT) по управлению и сборe статистики контрольно-измерительной аппаратуры: регуляторы, датчики, системы контроля протечки воды и прочая...;Английский - технический. ​MQTT (Mosquitto), Django, Elastik, Logstash, Kibana, Ruby/Python, C++, Git, Redis, Postgres SQL​.
DevOps Engineer;https://omsk.hh.ru/vacancy/31825200?query=django; Improvado;150 000-200 000 руб.;Тюнинг системы мониторинга (Prometheus + Cloudwatch + Grafana). Администрирование баз данных (Postgresql). On-call дежурства.;Разработка и поддержка кастомных контроллеров kubernetes на Golang. Умение кодить на Go будет большим плюсом, но возможно и обучение в...
Программист Python;https://omsk.hh.ru/vacancy/31510872?query=django; Русские базовые информационные технологии, Научно-производственное объединение;35 000-70 000 руб.;Сопровождение существующего программного кода. Участие в разработке новых крупных проектов (backend-разработка).;Требования: Опыт разработки на Python 2.7 не менее 1 года. Знание фреймворка Django 1.9 + Django Rest Framework. 
Инженер телекоммуникаций;https://omsk.hh.ru/vacancy/31910647?query=django; ComfortWay;от 70 000 руб.;Поддержание в рабочем состоянии серверов и сервисов компании и их развитие. Настройка и конфигурирование сервисов под нужды клиентов. ;...такое ICCID, IMSI, MSISDN и для чего нужны. Принципы работы OTA Platform. Понимание принципов работы IoT. Знание Python (Django, Twisted).
Python / Django - Разработчик;https://omsk.hh.ru/vacancy/31849146?query=django;ООО Когорта-М;до 150 000 руб.;Разработка и модернизация сервисов и систем. Интеграция со сторонними сервисами.;Аналитическое мышление. Умение работать в режиме многозадачности. Отличное владение Python / Django (понимание принципов ООП, паттернов проектирования). JS, extJS. 
Ведущий разработчик асинхронных бэкендов на Python и PostgreSQL / backend-разработчик;https://omsk.hh.ru/vacancy/31663012?query=django; ДевХаб;до 150 000 руб.;Для бэкендов используем Python, Asyncio, Django, PostgreSQL, Redis, RabbitMQ и другие инструменты. Предпочитаем микросервисную архитектуру. Документацию по API храним в...;Асинхронная и микросервисная архитектура. Требования к профессиональным навыкам: Отличное владение Python 3. Уверенный опыт работы с асинхронными фреймворками на любом...
Python разработчик;https://omsk.hh.ru/vacancy/31061798?query=django;ООО СкайДНС;от 60 000 руб.;Проектирование и разработка высоконагруженных веб-сервисов. Выполнение задач в соответствии с регламентом работ отдела.;Хорошее знание языка Python. Хорошее знание какого либо веб фреймворка (django, flask, tornado, aiohttp и тп). Опыт работы с RDBMS...
Программист-разработчик Full-stack developer (Python/Django/PostgreSQL);https://omsk.hh.ru/vacancy/31841191?query=django;ООО Росэксперт;от 40 000 руб.;Создание и обслуживание приложения на Python/Django/Bootstrap/PostgreSQL, скрапинг/парсинг (scraping/parsing) данных.;Ответственного и целеустремленного.
Web-разработчик / Middle Fullstack developer;https://omsk.hh.ru/vacancy/31886676?query=django; MSK-IX, Центр взаимодействия компьютерных сетей;от 120 000 руб.;разработка Web-приложений, полный цикл от участия в разработке ТЗ до тестирования end-to-end. * участие в code-review, рефакторинг...;уверенное знание Java 8+ (Spring Boot) либо Python (Django). * HTML5, CSS3, навыки верстки. * опыт разработки в одном...
Python-разработчик;https://omsk.hh.ru/vacancy/27041899?query=django;ООО Иви.ру;140 000-180 000 руб.;;Качественный опыт написания кода на python. Свободное владение linux (bash, sed, grep и другие утилиты). Знание классических алгоритмов и структур...
Senior Python Developer (Кипр);https://omsk.hh.ru/vacancy/31532775?query=django; EOtradex;от 2 500 EUR;;Желание и умение писать тесты. Преимуществом будет: Опыт работы Django. Опыт написания масштабируемых распределенных систем. Опыт работы с популярными блокчейн...
Senior Python Developer (Кипр);https://omsk.hh.ru/vacancy/31532776?query=django; EOtradex;от 2 500 EUR;;Желание и умение писать тесты. Преимуществом будет: Опыт работы Django. Опыт написания масштабируемых распределенных систем. Опыт работы с популярными блокчейн...
Back-end разработчик;https://omsk.hh.ru/vacancy/31890451?query=django; Fly Code;30 000-120 000 руб.;Разработка и поддержка интернет-проектов. Выбирать интересные себе проекты.;Знания ООП. Php (laravel/symfony/Yii) - один из трех php фраемворков или python (django) или ruby (RoR). Mysql/postgresql. Git.
Middle python/django /JavaScript программист;https://omsk.hh.ru/vacancy/31832706?query=django; Face Digital Agency;от 100 000 руб.;Разработка программной части веб-приложений (backend + Rest api + вывод во фронт). Поддержка и улучшение ранее разработанных проектов. ;Опыт разработки Web-проектов на Python (django) от 2 лет. Желательно иметь опыт работы с такими пакетами, как Django Suite...
Программист Python;https://omsk.hh.ru/vacancy/31820001?query=django; zClick.pro;150 000-300 000 руб.;Разработка нового функционала на Django (создание кода с нуля). Рефакторинг текущей кодовой базы. Поиск ошибок, их устранение. Развертка репозитория на...;Опыт работы с Python3, Django, PostgreSQL от 2 лет. Опыт работы с Django Rest Framework. Опыт работы с Redis...
Программист Python;https://omsk.hh.ru/vacancy/31846174?query=django;ООО Анлим-Софт;от 40 000 руб.;Создание, доработка и сопровождение разрабатываемого в компании ПО. Тестирование разрабатываемого в компании ПО (в т.ч. создание тестов). ;Опыт работы с Web2py или Django. Знание и умение работать с CSS, HTML, XML, JSON, AJAX, REST. 
Программист Python, Python Developer;https://omsk.hh.ru/vacancy/30470423?query=django; ANCOR FinTech;от 100 000 руб.;Разработка, тестирование, отладка и поддержка серверных приложений на Python.;Опыт работы с Python от 1 года, хорошее знание базовых библиотек. - Желательно опыт работы с Django или Flask, Pyramid (опыт...
Web-разработчик JavaScript, HTML, CSS, React;https://omsk.hh.ru/vacancy/31836230?query=django;ООО ОНГРИД СИСТЕМС;50 000-150 000 руб.;Frontend-разработчиков Middle+ (JavaScript, React JS, HTML, CSS). Backend-разработчиков Middle+ (Python, Django, Flask). QA тестировщика Junior+ (Selenium, JS, HTML...;Для Backend: знание Python, и веб-фреймворков Django/Flask. Умение работать с Git. Знание Linux и навыки работы в консоли. 
Ведущий программист-разработчик Python;https://omsk.hh.ru/vacancy/31812419?query=django;ЗАО АКУТА;70 000-130 000 руб.;Разработка backend с применением python, предполагается фреймворк Django (обсуждается). Проектирование взаимодействия, моделей данных и хранения в БД. Тесное взаимодействие с...;Уверенное знание языка программирования python. Опыт взаимодействия посредством API, JSON. PostgreSQL / SQL, понимание принципов организации хранения данных по объектам в...
Python/Django разработчик (back-end или full-stack) в Сочи;https://omsk.hh.ru/vacancy/31387902?query=django;ООО Колл-Тулз;от 100 000 руб.;Разработка back-end части (в основном). Разработка front-end части (по мере надобности).;Опыт разработки на Python (не ниже уровня middle). Базовые знания Linux. Понимание, как писать оптимальные запросы к БД. JQuery, CSS. 
Системный администратор приложений;https://omsk.hh.ru/vacancy/31888219?query=django; Альфа-Банк;до 140 000 руб.;Сопровождение серверов приложений. Сопровождение серверов СУБД Oracle. Администрирование openshift, kubernetis, docker. Написание и поддержка скриптов shell, pyhton.;Начальные знания по программированию HTML+CSS+JavaScript, python. Написание сервисов (Rest , Soap). Фраймворк Джанго. Spring. Приветствуется начальные знания Jenkis, Bamboo, Jira.
Junior Python разработчик;https://omsk.hh.ru/vacancy/31803486?query=django;ООО B2Basket.ru;от 40 000 руб.;Доработка текущих проектов. Участие в разработке новых проектов.;SQL. Python. (Знание Django большой плюс). Git. Готовность впитывать информацию.
Full Stack Developer (фулл стак разработчик);https://omsk.hh.ru/vacancy/31845648?query=django; Opengift;3 000-3 500 USD;Стартап студия (заказная разработка для стартапов с нуля под ключ, технический и продуктовый консалтинг, создание MVP или MLP). ;python 3 +. - уверенное знание bash, git. - ecmascript, jquery, react. - понимание сетевой архитектуры. - знакомство с bitrix, laravel, django.
Junior Python Разработчик;https://omsk.hh.ru/vacancy/31829855?query=django;ООО Виста;от 20 000 руб.;Поддержка и развитие существующий клиент-серверных продуктов (Python 3 + Flask/Django, MySQL/Oracle(реже)). ** Уметь написать запросы для изменения...;Опыт разработки с Py(QT). * Опыт разработки с Flask/Django. * Базовые представления об алгоритмах и структурах данных. * Знание Unix: опыт...
HTML-верстальщик / Frontend-разработчик;https://omsk.hh.ru/vacancy/31813767?query=django; Muzzmania LLC;до 90 000 руб.;Адаптивная отзывчивая кроссбраузерная верстка. Написание фронт-енд части проекта. Написание всех скриптов, исполняемых на стороне клиента.;Английский на уровне «разобраться с документацией». Опыт работы с фреймворком Django. Умение эффективно решать поставленные задачи, находить альтернативные решения. 
Middle Python разработчик;https://omsk.hh.ru/vacancy/31829865?query=django;ООО Виста;от 35 000 руб.;...3 + Flask/Django, MySQL/Oracle(реже), JS). * Разработка новых клиент-серверных продуктов (Python 3 + Flask/Django, MySQL/Oracle...;Опыт разработки GUI-приложений ЛИБО опыт разработки с Flask/Django. * Базовые представления об алгоритмах и структурах данных. * Знание Unix: опыт...
Разработчик Python/Django;https://omsk.hh.ru/vacancy/31768373?query=django;ООО Маилганер;80 000-130 000 руб.;Разработка back-end компонентов системы. Интеграция с существующими компонентами проектов.;Опыт разработки на Python/Django. Опыт работы в Git. Понимание принципов проектирования баз данных.
Разработчик Python/Django;https://omsk.hh.ru/vacancy/31768375?query=django;ООО Маилганер;80 000-130 000 руб.;Разработка back-end компонентов системы. Интеграция с существующими компонентами проектов.;Опыт разработки на Python/Django. Опыт работы в Git. Понимание принципов проектирования баз данных.
Разработчик Python/Django;https://omsk.hh.ru/vacancy/31768377?query=django;ООО Маилганер;80 000-130 000 руб.;Разработка back-end компонентов системы. Интеграция с существующими компонентами проектов.;Опыт разработки на Python/Django. Опыт работы в Git. Понимание принципов проектирования баз данных.
Разработчик Python/Django;https://omsk.hh.ru/vacancy/31768378?query=django;ООО Маилганер;80 000-130 000 руб.;Разработка back-end компонентов системы. Интеграция с существующими компонентами проектов.;Опыт разработки на Python/Django. Опыт работы в Git. Понимание принципов проектирования баз данных.
Frontend-разработчик;https://omsk.hh.ru/vacancy/31284850?query=django;ООО ГЛОБУС;от 180 000 руб.;Разработкой, поддержкой и сопровождением клиентской части нового веб-приложения Экосистемы Банка класса CRM. Версткой и разработкой клиентской части приложения. ;...к построению SPA. Знание любого языка бэкенда (Java, PHP, Python), а также Django/Django REST Framework. Опубликованные проекты на github.
Fullstack веб-разработчик;https://omsk.hh.ru/vacancy/30015222?query=django;ООО Комэрф;от 25 000 руб.;Процессы и улучшать инструменты аналитики для наших клиентов.;Веб-фреймворком (Vue, Ember, Angular 1/2). * Опыт серверного программирования, предпочтительно на Python/Django или Go. * Знание git. * 
Программист;https://omsk.hh.ru/vacancy/31800195?query=django;ООО Астра Студио;от 40 000 руб.;;Инициативны, желаете осваивать новые технологии, стремитесь к развитию. Желательно: Имеете опыт с Django​​​​​​​. Имеете опыт с Reactjs. Ваши дополнительные плюсы...
Системный архитектор;https://omsk.hh.ru/vacancy/30946166?query=django; Admitad;от 220 000 руб.;Выявление архитектурно значимых требований к ПО. Разработка и описание архитектуры ПО, публичных и внутренних API. Консультирование участников проектной команды по...;Опыт работы от 2-х лет на должности архитектора / ведущего разработчика в ИТ-компании или ИТ-подразделении. Знание основных архитектурных...
Frontend-разработчик;https://omsk.hh.ru/vacancy/30819375?query=django; MGCOM;120 000-140 000 руб.;Участие в разработке нового ПО в рамках проекта. Сопровождение текущего кода.;Английский язык (технический) на уровне, достаточном для чтения и понимания документации. Дополнительным плюсом будет: Опыт разработки на perl/python/django. 
Web разработчик;https://omsk.hh.ru/vacancy/30832128?query=django; ФГБУ ФКП Росреестра;40 000-80 000 руб.;Разработка информационных систем: веб-сервисы и веб-приложения, интеграционное ПО, Windows GUI, консольные Win/Linux утилиты. Оценка трудозатрат на реализацию...;"Использование Web-frameworks Ruby-On-Rails, Django; автоматическое развертывание веб-приложений. Опыт работы с веб-серверами Nginx, Apache. "
Python разработчик ‍‍;https://omsk.hh.ru/vacancy/30934506?query=django;ООО АппФоллоу;70 000-140 000 руб.;Парсинг и хранение данных: (ключевые слова, позиции приложений в Top чартах, фичеринг) в App Store и Google Play, Mac Store...;Python-разработчик, найдись! Уверенное владение Python, MySQL, MongoDB, Redis. Владение WSGI frameworks, Aiohttp или Asyncio производных. Понимание распределенных/параллельных вычислений. 
Редактор сайта;https://omsk.hh.ru/vacancy/31573637?query=django;ПАО Аэрофлот;от 65 000 руб.;Публикация статей на сайте, ведение контентного раздела. Текстовое наполнение сайта: Работа с изображениями: подбор и обработка фотографий. Работа с фотобанками...;Английский язык на профессиональном уровне. Второй иностранный язык приветствуется. Опыт работы с Django CMS будет преимуществом. Приветствуется знание специальных программ...
Backend разработчик;https://omsk.hh.ru/vacancy/31793346?query=django;ООО Подразделение Транспортной Безопасности Русь;от 60 000 руб.;Написание backend серверов для различных модулей приложения: сервер шифрования, сервер почтовика (только API), сайт, соцсеть и другие. Командная работа. ;Опыт коммерческой разработки от 3 лет. Python (Django) / Golang / Java / PHP (Laravel, Yii2) / JS (NodeJS, Angular, Vue.js). 
Python Django Developer;https://omsk.hh.ru/vacancy/31690229?query=django;ООО InfoShell;50 000-90 000 руб.;Участие в проектировании и разработке высоконагруженных, распределенных приложений. Разработка нового функционала и поддержка существующего. Участие в выборе и согласовании оптимального...;SOLID. Знание Django ( плюсом будет Flask ). HTML, CSS, JavaScript. Будет плюсом опыт работы с ML.
Fullstack разработчик (Python/Django);https://omsk.hh.ru/vacancy/31678843?query=django;ПАО «МТС»,IT;80 000-140 000 руб.;Иногда заним ается версткой (но не сильно часто).;Работает с серверными языками программирования (работает на Python-Django/Flask, но знаком и с другими языками, например nodejs/java/php/...). 
Разработчик Python/Django;https://omsk.hh.ru/vacancy/31768374?query=django;ООО Маилганер;80 000-130 000 руб.;Разработка back-end компонентов системы. Интеграция с существующими компонентами проектов.;Опыт разработки на Python/Django. Опыт работы в Git. Понимание принципов проектирования баз данных.
Разработчик Python/Django;https://omsk.hh.ru/vacancy/31768376?query=django;ООО Маилганер;80 000-130 000 руб.;Разработка back-end компонентов системы. Интеграция с существующими компонентами проектов.;Опыт разработки на Python/Django. Опыт работы в Git. Понимание принципов проектирования баз данных.
Разработчик Python/Django;https://omsk.hh.ru/vacancy/31768379?query=django;ООО Маилганер;80 000-130 000 руб.;Разработка back-end компонентов системы. Интеграция с существующими компонентами проектов.;Опыт разработки на Python/Django. Опыт работы в Git. Понимание принципов проектирования баз данных.
Fullstack разработчик на PHP и Python;https://omsk.hh.ru/vacancy/31773731?query=django; Stellarbit;от 100 000 руб.;Разработка ПО на PHP и Python, формы на HTML/Javascript тоже придётся писать, так как отдельного фронтендера у нас пока...;Опыт работы с любыми известными фреймворками (Yii, Laravel, Flask, Django, etc). СУБД PostgreSQL, либо MySQL. HTML5, CSS3, JavaScript...
Python-разработчик;https://omsk.hh.ru/vacancy/31754982?query=django; ТехноНИКОЛЬ;100 000-120 000 руб.;Разработка серверной части крупного приложения и дальнейшая его реализация. Участие в проектировании архитектуры ядра приложения на микросервисной модели. ;Опыт разработки Web API или Web-приложений. Опыт применения какого-либо Web-фреймворка: Django, Flask, Pyramid и прочие. 
Python-разработчик;https://omsk.hh.ru/vacancy/31754983?query=django; ТехноНИКОЛЬ;100 000-120 000 руб.;Разработка серверной части крупного приложения и дальнейшая его реализация. Участие в проектировании архитектуры ядра приложения на микросервисной модели. ;Опыт разработки Web API или Web-приложений. Опыт применения какого-либо Web-фреймворка: Django, Flask, Pyramid и прочие. 
Python-разработчик;https://omsk.hh.ru/vacancy/31754984?query=django; ТехноНИКОЛЬ;100 000-120 000 руб.;Разработка серверной части крупного приложения и дальнейшая его реализация. Участие в проектировании архитектуры ядра приложения на микросервисной модели. ;Опыт разработки Web API или Web-приложений. Опыт применения какого-либо Web-фреймворка: Django, Flask, Pyramid и прочие. 
Python-разработчик;https://omsk.hh.ru/vacancy/31754985?query=django; ТехноНИКОЛЬ;100 000-120 000 руб.;Разработка серверной части крупного приложения и дальнейшая его реализация. Участие в проектировании архитектуры ядра приложения на микросервисной модели. ;Опыт разработки Web API или Web-приложений. Опыт применения какого-либо Web-фреймворка: Django, Flask, Pyramid и прочие. 
Python-разработчик;https://omsk.hh.ru/vacancy/31754986?query=django; ТехноНИКОЛЬ;100 000-120 000 руб.;Разработка серверной части крупного приложения и дальнейшая его реализация. Участие в проектировании архитектуры ядра приложения на микросервисной модели. ;Опыт разработки Web API или Web-приложений. Опыт применения какого-либо Web-фреймворка: Django, Flask, Pyramid и прочие. 
Backend Python Developer;https://omsk.hh.ru/vacancy/30914338?query=django;ООО Авгуро Технолоджис;до 180 000 руб.;Back-end-разработчику предстоит реализовывать и развивать серверную часть веб-сервисов, принимая аналитические архитектурные решения, а также дорабатывать имеющуюся инфраструктуру.;От 1 год коммерческого опыта в Python, Django, SQL (опыт во freelance не учитывается). Уверенное владение Linux. Знание SQL и...
Программист Python;https://omsk.hh.ru/vacancy/31681104?query=django;ООО Quins;130 000-200 000 руб.;Участие в проектировании и разработке веб-сервисов и API для мобильных приложений.;Умение проверять свой код и отвечать за результат своей работы. Опыт работы с Flask/Django. Опыт работы с реляционными базами...
Программист Python;https://omsk.hh.ru/vacancy/31691202?query=django; Osla;от 120 000 руб.;Работа над архитектурой. Разработка новых и развитие существующих модулей в рамках DRF. Внедрение актуальных методик в процесс разработки. ;Опыт разработки клиент-серверных приложений (backend) на основе Django REST framework. Умение работать с Git, Linux. Опыт работы по гибким...
Web-разработчик;https://omsk.hh.ru/vacancy/31738194?query=django; VISION-WEB;от 20 000 руб.;Поддержка клиентских проектов - сайты на популярных CMS (Django, WP, Opencart, DIAFAN). Осуществление интеграций между облачными SaaS сервисами - телефония, провайдеры рассылок...;PHP/Python+Django на начальном уровне, с пониманием/опытом работы по модели MVC, опыт работы с БД. JavaScript (jQuery) на начальном...
Разработчик мобильного приложения / React Native Developer;https://omsk.hh.ru/vacancy/31751207?query=django; ComfortWay;от 70 000 руб.;Разработка мобильного приложения на React Native для iOS / Android. Доработка существующего приложения. Работа с различными протоколами и форматами обмена данными. ;Основ (или полноценное знание) языков SQL, Python и Java. Системы управления данных PostgreSQL (Django). Unix-подобных операционных систем / Debian. 
Разработчик web-приложений на Python;https://omsk.hh.ru/vacancy/31730212?query=django; Demis Group;140 000-200 000 руб.;Принимает нестандартные, но обоснованные решения, когда изыскания банальных, но неподходящих вариантов уже исчерпаны.;Работал хотя бы с одним фреймворком на Python (CherryPy/Django/ Flask). Знаком с JS-фреймворками (jQuery, React, AngularJS, Vue). 
QA Engineer;https://omsk.hh.ru/vacancy/31326223?query=django;ООО Авгуро Технолоджис;20 000-75 000 руб.;Подготовка сценариев для функционального тестирования. На основе составленных тестовых сценариев, проведение функционального тестирования ПО. Документирование результатов тестирования в протоколах, оформление...;Базовые знания SQL, и различных ORM: SQLAlchemy, Django ORM . Базовые знания Python и Django. Желание учиться и повышать свою квалификацию.
Ведущий разработчик Python (Team Lead);https://omsk.hh.ru/vacancy/30373653?query=django;АО НИИ МАСШТАБ;90 000-110 000 руб.;Поддержка существующей кодовой базы. Проектирование архитектурных решений. Разработка ключевых программных модулей. Прототипирование архитектуры. Проведение код ревью.;Опыт работы базами данных MySQL и кэшем Redis. Знание веб-фреймворка Flask или Django. Опыт работы с Celery. 
Старший разработчик;https://omsk.hh.ru/vacancy/31710837?query=django;ООО Дивиэм Групп;от 40 000 руб.;Взаимодействие с внутренними отделами компании. Анализ и предложение вариантов синхронизации с внешними сервисами и компаниями. Описание задач для доработки системы. ;Опыт работы с CRM. Опыт внедрения различных сервисов. Опыт работа с task-менеджерами. Знание HTML/CSS. Знание python/django/JS...
Linux системный администратор / Администратор баз данных;https://omsk.hh.ru/vacancy/31751261?query=django; ComfortWay;от 50 000 руб.;Мониторинг инфраструктуры и устранение инцидентов, интеграция систем, использование Sentry. Администрирование баз данных PostgreSQL (через Django ORM), Redis (celery), бэкап. ;Администрирование Debian, умение настраивать сложные конфигурации. Linux и Windows-узлами. Хранилищами данных. Реляционными СУБД. Сетевыми устройствами по SSH или WinRM...
Java Developer (PyCharm);https://omsk.hh.ru/vacancy/22623387?query=django; JetBrains;от 160 000 руб.;Разрабатывать интеграцию с популярными Веб-фреймворками: Django, Pyramid, Flask и др. Улучшать поддержку запуска, отладки и профилирования приложений. ;Мы хотим видеть тебя в своей команде, если ты: Имеешь опыт разработки на Java от 3-х лет. 
